id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle
62e8ce73bb27850bd558399cbaf65a39,Where do you get a needle for a routine checkup?,sewing basket,eat cake,doctor's office,hospital,haystack,2,HOSPITAL IS THE ONLY PLACE THAT IS USING THE NEEDLE FOR THE CHECKUP,A doctor' s office is a place where you can get a routine medical checkup.
ecfad24863fed25d43d7af0d9897459b,What is a social benefit of going to party?,getting drunk,food,plan,having fun,meeting new people,4,"People come from all over to go to someone's party. They may know the host through work or school. People who know a person from work will meet the people that person works with. Thus, expanding your opportunity to meet new people.",Going to a party is a good way to meet new people.
44195d210c81c8c550174d0edbd3ad5d,What lawn is most likely to be on a street?,green yard,suburbia,golf course,front yard,michigan,3,A street is generally lined with many houses with front yards visible.,A front yard is the most likely lawn to be found on a road because it is the first thing that people see when they drive down the road.
2713983edc30c6391b9aa4ef2cb7ed79,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,books,france,fish market,atlantic ocean,cuba,1,sushi place to foriegn sing to songs,Sam ordered a fish at a restaurant in Paris.
be35704c3bd234a708abc470e04d8e8f,"Sarah did much hard work, even though she was on vacation.  Her mother told her off and said what?",unemployment,say something,earn money,do nothing,relaxation,3,"do nothing  much hard work,even though she was on vacation.",Sarah's mother told Sarah to do nothing because she was doing hard work.
5d01bb744a381888c75c64805066ec78,What will likely happen to one's body if the only eat hamburgers?,get full,make money,hungry,choking,getting fat,4,is the best since it is the best backup,"If you eat hamsburgers every day, you will get fat."
5b5d6ada7f59d1f4c79f340120e3cb52,Where is the tearoom likely to have originated?,canteen,asian countries,england,building,london,2,"The English are world famous for their tea and although London is in England, the more general answer is better",Tearooms are typically found in england.
ad2fc6215c179ab6a880ee6c3e2f4b62,"James and Ruth were getting a divorce.  It was amicable, but it wasn't happy.  There was a lot of what emotion?",bitterness,sadness,depression,pain,anguish,1,Sadness depicts the fact that it's not happy,James was sad because he was getting a divorced.
2a76f439366b169f5cba2040ab82316e,What does someone say when they tell you to go to sleep?,start slowing down,get up early,rest up,dream,wake up,2,This is the most likely answer for something someone would say when going to sleep.,"When someone tells you to sleep, they are telling you to rest up."
cec56d3dcd19e8e6bfd22f030fb76b79,Where would you go if you didn't feel like baking a cake yourself?,theater,refrigerator,bakery,grocery store,oven,2,Bakeries bake cakes so you dont have to,A bakery is a place where you can buy baked goods.
cd4711d67a1f83d54ce142ee141ba6cd,Jim chose clear paint.  He could have chosen another type but it would have covered up the natural beauty of the wood.  What sort of paint could he have chosen instead?,opaque,opal,obscured,obscure,thick,0,Opaque means to cover up or not see through,Clear paint would have been the best choice because it would not have covered the natural wood.
a37fd2130f969cf65c6c8f7e29715620,"Even if not all events are enjoyable, what is a person traveling to many different places likely to have?",lots of tickets,interesting experiences,compliments,feel pleasure,look attractive,1,Traveling to many different places would create many interesting experiences.,"Even though not all of the events are pleasant, traveling to different places is likely to give the person many interesting experiences."
71935b0fd92de5cd9e48eab7ce887c46,"Any place sounded good besides McDonalds, he was hungry enough to go where?",city,location,map,place,almost anywhere,4,He was ready to go anywhere as he was hungry,He was hungry and wanted to go to a place where he could get food.
72fd7996e2176c8620009d917e55d56c,What could you find in a bookstore that is not for sale?,magazines,phone book,carpeting,town,city,2,Carpeting is not sold in a bookstore.,"A bookstore is a place where books are sold. Books are not for selling, so a book store would not have any books for sale."
91fd85edc000bd23609d507761c5aaca,"A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what?",great oceans,great outdoors,tropical waters,pacific ocean,gulf of mexico,1,The great outdoors is the only choice where you would find a lake in the woods.,A great outdoors is a place where you can go outside and enjoy nature.
c298b06974631f964a72366e809a1efa,Why does a person move to the suburbs?,make others happy,good lover,acknowledgment,for fun,low crime,4,He goes to study in law,A person moves to the suburb because it is a safe place to live.
cbfe90570babd7aae6334f81e98981d9,Where is a front yard likely to be small?,suburb,gardening,slip and slides,grass,neighborhood,0,Suburbs are known to have multiple homes right next to each other limiting the size of yards.,A front yard is likely to have grass because it is a place where people can play sports and have fun.
28a0878e310f111d73aa51f8db8f585c,The area of land next to the ocean is called what?,underwater,surface of earth,waterfalls,delta,beach,4,"The question is what specific land is next to the ocean, which is the beach -- so B is too broad, while A is a description of what land is in the ocean.",A beach is a place where people go to the water to swim and play.
799045a0f73f6b1be9ca2fb1b50b3767,"If you work out too hard when you are getting in shape, what can this cause?",losing weight,loss of water,exercise,feel better,pain,4,Working out too hard causes unnecessary muscle pain.,"If a person works out too much, they can cause pain in their muscles."
7414a0eb9bc44f88cc2a486d5e5077eb,"If people are scared, why would they get a gun?",arm themselves,to drive their property value down,talk to each other,lose touch,share ideas,0,"People arm themselves with weapons, namely a gun.","If someone is scared, they will get a weapon to protect themselves."
8b1eef9c420dda7fa6d63a199b95cd6b,Outside of the city where could you find a sloth in a small zoo?,cage,encyclopedia,wilderness,dictionary,countryside,4,The country is outside fo the city,A sloth is a slow-moving animal that lives in the wild. It would be difficult to find a zoo that has a sloths in it.
c8727f356d81ed93c9c9ac0a0619432f,Where might one see a fine picture as the background of their surrounding environment?,work,desktop,wall,art show,shelf,3,this is where artwork is usually displayed,Art shows are a place where people can go to see art.
29fc3bf338844f185da3f4e26192a224,If you have curiosity about another location what should you do?,see favorite show,hear news,eat lunch,read book,go somewhere,4,The best way to satisfy your curiosity is to see it for yourself.,"If someone has curiosity about a place, they should go there to see it."
e8b351c7a1cb4fef18795b997f06d520,"If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?",chef,abc book,high school band,orchestra,museum,2,High school bands are generally made up of non-professional musicians.,A high school orchestra is a group of musicians who play together to perform music.
a5c79eabdc1a5d8d0f5358f4f42ba2cc,When you lift a cup to take a drink when your hand is headed back to the table you are doing what with it?,putting down,put down,depress,set down,steal cutlery,0,Putting down a drink is the only option to do back to the table.,"When your hand goes back to your side, you are putting the cup down."
627e78b87786d99152be12380af44fd5,"After working overtime and double shifts he was cashing in, that weekend he would celebrate and relax with some unhealthy what?",get rich,binge drinking,getting money,increase in money,drinking coffee,1,Binge drinking is the only thing that is not a healthy option and that could 'relax' him.,Binge drinking is when a person drinks a lot of alcohol in a short period of time.
cf28a6ab54c885eae5e3cb150e3f110d,"After getting dressed very formally and getting the stereotypical viewing glasses, they went to the ticket office where?",movie theaters,eye doctor,opera house,auditorium,end of line,2,you need special glasses at the opera,"After they got the stereotype glasses, the person would go to the opera house to see a performance."
4c728b6f73895f1b053adcfad0bc5ea4,"If you're not leaving a home through the window, how would you leave?",office,wall,front door,wall,building,2,The front door is the only other logical place to exit a house.,"If someone is leaving a house through the front door, they would be leaving through the wall."
f195704336d1db5e3d23f0354598e774,Where could there be people making noise if no one is supervising the people?,big city,transmission,classroom,bowling alley,in the front yard,2,A classroom needs constant supervision.,"If there is no one supervising, then there will be people in the classroom making noise."
f35a140a3bfb6d6c842da229c09357a7,Where is a traditional place to have your rocking chair?,parlor,front porch,rock concert,old folks home,child's room,1,A. front porchis  a traditional place to have your rocking chair?,A front porch is a place where people can sit and relax.
8994e1a230367c69c3c9ffdb3ef63971,"Needlepoint requires many accessories, what holds the work taut?",sewing,collection of folk art,livingroom,frame,bathroom,3,that's the best option since that's where there are more roses,Needles are used to hold the work in place.
2cda062247b94c2b753b1850c29ab9bc,Why would someone be committing murder?,go to jail,guilty conscience,find god,problems,knife,3,Only someone who had problems would actually be able to commit a murder,Murder is a crime that is committed when someone kills another person.
1063bdf08fbf9989d8f7614035cbac1f,What can happen to a dog wiggling during grooming?,injury,mistakes,late,pain,beauty,0,injury  happen to a dog wiggling during grooming,A dog that is wiggled during groom is injured because the groomer is not using proper technique.
a46aceab60212960e0433a43d7897705,What could a tennis game be part of?,match,progress,championship,park,field with tennis court,0,A tennis game is often called a tennis match.,A tennis game is a match between two players.
d4bd50180e11e2801e7285938b5d522f,"Many addicts turn to exercise to deal with their addictions, this is because it is a healthy way to do what?",condition heart,expend energy,laugh,stretch,weigh,1,Exercise have the ultimate function of making someone lose weight.,Exercise is a way to expend energy.
0a63a1fdea20f8ffa41cb9103d5fa5a7,What happens after committing murder?,distress,kill,problems,go to jail,fear,3,Murders break the law and are sent to jail when caught,"After committing murder, the person will go to prison."
d81676b2782479a563014bcf75a7fe53,Where would you use a turnstile that does not require inserting a ticket?,theatre,subway station,train station,amusement park,store,3,"While transportation services require tickets for boarding, by contrast, an amusement park is offering customers admission.",A turnstiles that doesnt require a ticket is used in amusement parks.
a6c8a84d629be036f2a73c468aaa9d3b,"While chatting with friends for hours, what did the formerly lonely man feel?",happiness,tiredness,communication,agreement,answers,0,It shows that the man went from being sad and lonely to happy and surrounded by friends.,"While talking to friends for a long time, the man felt happy because he was able to communicate with his friends."
eed6eb79b7a6add1247acc463e69c79f,Where would you find a lot of beds?,bedford,rest area,neighbor's house,hospital,loft,3,hospitals have more beds than the other options would.,Hospitals are places where people go to get medical care.
