id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,model_answer,max_shap_value,ratio_shap_value,context_shap,question_shap
075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at,avoid,0,Not sure what else could be a common ground,The school had made efforts to change and the sanctions were a punishing blow.,4.0,0.4215783406329378,0.0,"[[ 0.02636847 -0.10477108 -0.14546561 -0.33800782]
 [ 0.02636847 -0.10477108 -0.14546561 -0.33800782]
 [ 0.0066083   0.20608744  0.04138745  0.04738968]
 [ 0.0066083   0.20608744  0.04138745  0.04738968]
 [-0.07982194 -0.10594306  0.09664234 -0.04882376]
 [-0.07982194 -0.10594306  0.09664234 -0.04882376]
 [-0.12637416  0.01135258 -0.28075117  0.27467939]
 [-0.12637416  0.01135258 -0.28075117  0.27467939]
 [ 0.01496607 -0.03158067 -0.27055547  0.30656868]
 [-0.31009599  0.11553443  0.03852572  0.29471808]
 [-0.2037533  -0.24439687  0.47180888 -0.1802009 ]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [-0.1225245   0.26700522 -0.02979132  0.24954206]
 [-0.29096807  0.23502671  0.13053197  0.27579963]
 [-0.03389367  0.03860324  0.13877002  0.04563289]
 [-0.03389367  0.03860324  0.13877002  0.04563289]
 [-0.09095259  0.18615102  0.16166039  0.11560038]
 [-0.09095259  0.18615102  0.16166039  0.11560038]
 [-0.09593778  0.07738445  0.21137549 -0.09505929]
 [-0.09593778  0.07738445  0.21137549 -0.09505929]
 [-0.37498853 -0.29482197  0.19292189 -0.63998337]
 [ 0.28187287  0.58254425  0.15499968  0.05414846]]","[[ 0.02636847 -0.10477108 -0.14546561 -0.33800782]
 [ 0.02636847 -0.10477108 -0.14546561 -0.33800782]
 [ 0.0066083   0.20608744  0.04138745  0.04738968]
 [ 0.0066083   0.20608744  0.04138745  0.04738968]
 [-0.07982194 -0.10594306  0.09664234 -0.04882376]
 [-0.07982194 -0.10594306  0.09664234 -0.04882376]
 [-0.12637416  0.01135258 -0.28075117  0.27467939]
 [-0.12637416  0.01135258 -0.28075117  0.27467939]
 [ 0.01496607 -0.03158067 -0.27055547  0.30656868]
 [-0.31009599  0.11553443  0.03852572  0.29471808]
 [-0.2037533  -0.24439687  0.47180888 -0.1802009 ]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [ 0.03468706 -0.07747149  0.08371597 -0.02782833]
 [-0.1225245   0.26700522 -0.02979132  0.24954206]
 [-0.29096807  0.23502671  0.13053197  0.27579963]
 [-0.03389367  0.03860324  0.13877002  0.04563289]
 [-0.03389367  0.03860324  0.13877002  0.04563289]
 [-0.09095259  0.18615102  0.16166039  0.11560038]
 [-0.09095259  0.18615102  0.16166039  0.11560038]
 [-0.09593778  0.07738445  0.21137549 -0.09505929]
 [-0.09593778  0.07738445  0.21137549 -0.09505929]
 [-0.37498853 -0.29482197  0.19292189 -0.63998337]
 [ 0.28187287  0.58254425  0.15499968  0.05414846]]"
61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment,roadblock,1,People will be in populated areas.,"The desert is a large area with little to no people, making it a great place to go for a vacation. It is full of natural beauty and plenty of activities for a fun day.",2.0,0.7252407063438784,0.0,"[[ 3.01036214e-01 -2.08922671e-01  4.58802453e-02  1.14081042e+00
  -8.86325433e-01]
 [ 3.01036214e-01 -2.08922671e-01  4.58802453e-02  1.14081042e+00
  -8.86325433e-01]
 [-1.71807011e-01  7.50876450e-03 -1.19284616e-01 -5.56870919e-02
  -9.92583859e-02]
 [-1.71807011e-01  7.50876450e-03 -1.19284616e-01 -5.56870919e-02
  -9.92583859e-02]
 [-2.14282971e-01  2.69788486e-01 -3.19590169e-01 -3.29232420e-02
  -8.70345417e-02]
 [-2.14282971e-01  2.69788486e-01 -3.19590169e-01 -3.29232420e-02
  -8.70345417e-02]
 [-2.13091173e-01  6.44472880e-02 -5.25951551e-02 -7.56144206e-02
  -3.70279471e-02]
 [-2.13091173e-01  6.44472880e-02 -5.25951551e-02 -7.56144206e-02
  -3.70279471e-02]
 [-2.19417867e-01  1.41592185e-01  1.09882941e-02 -7.63669512e-02
   4.48049570e-03]
 [-1.29692076e-01  1.95735085e-01 -6.98564509e-02 -3.27219459e-01
  -1.22928913e-01]
 [-2.60813758e-01 -1.09405593e-01 -1.11028426e-01  1.08466049e-03
  -9.05617965e-02]
 [-2.88623004e-01  6.31102192e-01  1.10950328e+00  4.58286094e-01
  -1.22839654e+00]
 [ 2.66274253e-01  2.38907311e-01  6.55603025e-03  8.13887208e-02
   1.16881406e-01]
 [ 2.66274253e-01  2.38907311e-01  6.55603025e-03  8.13887208e-02
   1.16881406e-01]
 [ 6.19108266e-01 -1.51484322e-02  4.55615393e-01 -2.58445851e-03
   8.13055274e-03]
 [-3.27782426e-01  3.65650337e-01  8.71661699e-01  1.57042546e+00
   1.53552883e-01]
 [-4.39064470e-01 -2.14283295e-01  7.07048309e-01  3.16182133e-01
   1.85770477e-01]]","[[ 3.01036214e-01 -2.08922671e-01  4.58802453e-02  1.14081042e+00
  -8.86325433e-01]
 [ 3.01036214e-01 -2.08922671e-01  4.58802453e-02  1.14081042e+00
  -8.86325433e-01]
 [-1.71807011e-01  7.50876450e-03 -1.19284616e-01 -5.56870919e-02
  -9.92583859e-02]
 [-1.71807011e-01  7.50876450e-03 -1.19284616e-01 -5.56870919e-02
  -9.92583859e-02]
 [-2.14282971e-01  2.69788486e-01 -3.19590169e-01 -3.29232420e-02
  -8.70345417e-02]
 [-2.14282971e-01  2.69788486e-01 -3.19590169e-01 -3.29232420e-02
  -8.70345417e-02]
 [-2.13091173e-01  6.44472880e-02 -5.25951551e-02 -7.56144206e-02
  -3.70279471e-02]
 [-2.13091173e-01  6.44472880e-02 -5.25951551e-02 -7.56144206e-02
  -3.70279471e-02]
 [-2.19417867e-01  1.41592185e-01  1.09882941e-02 -7.63669512e-02
   4.48049570e-03]
 [-1.29692076e-01  1.95735085e-01 -6.98564509e-02 -3.27219459e-01
  -1.22928913e-01]
 [-2.60813758e-01 -1.09405593e-01 -1.11028426e-01  1.08466049e-03
  -9.05617965e-02]
 [-2.88623004e-01  6.31102192e-01  1.10950328e+00  4.58286094e-01
  -1.22839654e+00]
 [ 2.66274253e-01  2.38907311e-01  6.55603025e-03  8.13887208e-02
   1.16881406e-01]
 [ 2.66274253e-01  2.38907311e-01  6.55603025e-03  8.13887208e-02
   1.16881406e-01]
 [ 6.19108266e-01 -1.51484322e-02  4.55615393e-01 -2.58445851e-03
   8.13055274e-03]
 [-3.27782426e-01  3.65650337e-01  8.71661699e-01  1.57042546e+00
   1.53552883e-01]
 [-4.39064470e-01 -2.14283295e-01  7.07048309e-01  3.16182133e-01
   1.85770477e-01]]"
02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas,oceans,3,atlases were collections of highway and street maps,"'atlas' is the best answer choice because it is the most specific. It refers to a specific type of map, and cannot be confused with any other type of map.",3.0,0.6807127001257222,0.0,"[[ 0.74464532 -0.3819517   0.89716705  0.16696367  0.13734392]
 [ 0.63637804 -0.15068562  1.23925948  0.26430014  0.10201302]
 [-0.5860491   0.1633279   0.10231931 -0.13671584  0.23218529]
 [-0.35141178  0.02264838 -0.08498154  0.00473779 -0.21111401]
 [-0.35141178  0.02264838 -0.08498154  0.00473779 -0.21111401]
 [-0.50679781  1.3556917   0.64343591  0.53486718 -0.74426587]
 [-0.25979538 -0.12117306 -0.05597728  0.42005745  0.11249966]
 [-0.25979538 -0.12117306 -0.05597728  0.42005745  0.11249966]
 [-0.12409013  0.04730694  0.03911799  0.12171785  0.10058161]
 [-0.12409013  0.04730694  0.03911799  0.12171785  0.10058161]
 [ 0.40255205  0.4265456   1.2166663   0.30415715 -0.09307695]
 [ 0.40571325  0.38105903  1.06060741  0.37616719 -0.16488379]
 [ 0.59331697  0.67142406  0.07916641  1.24894935  0.81924931]
 [ 0.09368963  0.80589043  0.17078432  0.33941711  0.39470287]]","[[ 0.74464532 -0.3819517   0.89716705  0.16696367  0.13734392]
 [ 0.63637804 -0.15068562  1.23925948  0.26430014  0.10201302]
 [-0.5860491   0.1633279   0.10231931 -0.13671584  0.23218529]
 [-0.35141178  0.02264838 -0.08498154  0.00473779 -0.21111401]
 [-0.35141178  0.02264838 -0.08498154  0.00473779 -0.21111401]
 [-0.50679781  1.3556917   0.64343591  0.53486718 -0.74426587]
 [-0.25979538 -0.12117306 -0.05597728  0.42005745  0.11249966]
 [-0.25979538 -0.12117306 -0.05597728  0.42005745  0.11249966]
 [-0.12409013  0.04730694  0.03911799  0.12171785  0.10058161]
 [-0.12409013  0.04730694  0.03911799  0.12171785  0.10058161]
 [ 0.40255205  0.4265456   1.2166663   0.30415715 -0.09307695]
 [ 0.40571325  0.38105903  1.06060741  0.37616719 -0.16488379]
 [ 0.59331697  0.67142406  0.07916641  1.24894935  0.81924931]
 [ 0.09368963  0.80589043  0.17078432  0.33941711  0.39470287]]"
23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook,dense forest,2,Usually the habitat of a fox is forest and it must be looking for it,The fox was likely looking for a place to rest and hide in the dense forest.,2.0,0.5202393158620497,0.0,"[[ 0.03973068  0.33928298  0.0051444   0.06542978]
 [ 0.03973068  0.33928298  0.0051444   0.06542978]
 [ 0.48893897  0.07912129 -0.03929211 -0.12065501]
 [ 0.48893897  0.07912129 -0.03929211 -0.12065501]
 [ 0.43789424  0.16889808 -0.057177   -0.0140055 ]
 [ 0.43789424  0.16889808 -0.057177   -0.0140055 ]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.06870848 -0.04998648 -0.09111488 -0.08666717]
 [ 0.3160572   0.06147502 -0.18667568 -0.0124945 ]
 [ 0.60076229  0.02103198  0.23585347  0.2326449 ]
 [-0.16136842  0.05645907 -0.08143206 -0.31096462]
 [-0.16136842  0.05645907 -0.08143206 -0.31096462]
 [-0.0829592   0.25388583  0.01439097 -0.05421037]
 [-0.90908195 -0.35005992  0.52376746 -0.03517025]
 [ 0.57676973 -0.16580657  0.09540017  0.4127236 ]]","[[ 0.03973068  0.33928298  0.0051444   0.06542978]
 [ 0.03973068  0.33928298  0.0051444   0.06542978]
 [ 0.48893897  0.07912129 -0.03929211 -0.12065501]
 [ 0.48893897  0.07912129 -0.03929211 -0.12065501]
 [ 0.43789424  0.16889808 -0.057177   -0.0140055 ]
 [ 0.43789424  0.16889808 -0.057177   -0.0140055 ]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.04091393  0.23592609 -0.27199607 -0.12849475]
 [ 0.06870848 -0.04998648 -0.09111488 -0.08666717]
 [ 0.3160572   0.06147502 -0.18667568 -0.0124945 ]
 [ 0.60076229  0.02103198  0.23585347  0.2326449 ]
 [-0.16136842  0.05645907 -0.08143206 -0.31096462]
 [-0.16136842  0.05645907 -0.08143206 -0.31096462]
 [-0.0829592   0.25388583  0.01439097 -0.05421037]
 [-0.90908195 -0.35005992  0.52376746 -0.03517025]
 [ 0.57676973 -0.16580657  0.09540017  0.4127236 ]]"
e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television,desk,3,television is the only option that is a home entertainment system,"Television is commonly used for home entertainment purposes, such as watching television shows, movies, and sports. It is also used for streaming content and playing games. Therefore, it is the best choice for home entertainment equipment.",3.0,0.8724871695805908,0.0,"[[0.82665339 0.7527402 ]
 [0.82665339 0.7527402 ]
 [0.51289387 1.1756941 ]
 [0.18423867 0.06332031]
 [0.84065505 0.94040563]
 [0.78056041 2.66776779]
 [0.28857951 0.60050541]
 [0.06918423 0.26687742]]","[[0.82665339 0.7527402 ]
 [0.82665339 0.7527402 ]
 [0.51289387 1.1756941 ]
 [0.18423867 0.06332031]
 [0.84065505 0.94040563]
 [0.78056041 2.66776779]
 [0.28857951 0.60050541]
 [0.06918423 0.26687742]]"
3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge,coach,1,Becuase Leftovers are put in the fridge,"The word 'coach' is a portmanteau word, which is a combination of the words 'cart' and 'boat'. Therefore, it makes sense that the forgotten leftovers would be covered in mold since it is a combination of a boat and a cart.",4.0,0.4469803967922618,0.0,"[[ 0.13138298 -0.05171777]
 [ 0.13138298 -0.05171777]
 [ 0.09205561 -0.21124447]
 [ 0.09205561 -0.21124447]
 [ 0.16780835 -0.27439535]
 [ 0.16780835 -0.27439535]
 [-0.11764688  0.35424455]
 [-0.20065699  0.43784318]
 [-0.06694202  0.19331919]
 [ 0.40908595  0.08771327]
 [ 0.40908595  0.08771327]
 [ 0.47170638  0.11501793]
 [ 0.66888511  0.21870192]
 [ 0.22165809  0.28746163]
 [ 0.22165809  0.28746163]
 [ 0.36159828  0.45905409]
 [ 0.36159828  0.45905409]
 [ 0.00172745  0.20950665]
 [ 0.00172745  0.20950665]
 [ 0.15825791  0.2054812 ]
 [ 0.15825791  0.2054812 ]
 [ 0.90885928 -0.7697946 ]
 [ 0.39566538  0.6252444 ]]","[[ 0.13138298 -0.05171777]
 [ 0.13138298 -0.05171777]
 [ 0.09205561 -0.21124447]
 [ 0.09205561 -0.21124447]
 [ 0.16780835 -0.27439535]
 [ 0.16780835 -0.27439535]
 [-0.11764688  0.35424455]
 [-0.20065699  0.43784318]
 [-0.06694202  0.19331919]
 [ 0.40908595  0.08771327]
 [ 0.40908595  0.08771327]
 [ 0.47170638  0.11501793]
 [ 0.66888511  0.21870192]
 [ 0.22165809  0.28746163]
 [ 0.22165809  0.28746163]
 [ 0.36159828  0.45905409]
 [ 0.36159828  0.45905409]
 [ 0.00172745  0.20950665]
 [ 0.00172745  0.20950665]
 [ 0.15825791  0.2054812 ]
 [ 0.15825791  0.2054812 ]
 [ 0.90885928 -0.7697946 ]
 [ 0.39566538  0.6252444 ]]"
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer,blotter,4,The other choices are really useful for absorbing a liquid,"Desk drawers are typically used to store pens and other writing supplies. Therefore, it makes sense that they would be a good place to put an extra ink tank.",3.0,0.6034916463713382,0.0,"[[ 1.88933320e-01  1.82741593e-01 -8.87833838e-03  6.31692957e-02
  -1.92771325e-01]
 [ 1.88933320e-01  1.82741593e-01 -8.87833838e-03  6.31692957e-02
  -1.92771325e-01]
 [ 6.38360906e-01  1.03278367e+00 -1.91512952e-01 -5.56794826e-01
   1.83872096e-01]
 [ 8.67848878e-01  9.25928542e-01 -4.07302120e-01 -1.01932849e+00
   1.65516683e-01]
 [ 5.38349634e-01 -4.84570826e-01 -3.42903629e-01  3.19694515e-01
   8.46726542e-01]
 [ 8.49597276e-01 -7.37638659e-01 -1.58684038e-01 -2.03982171e-01
   5.29344715e-01]
 [ 7.54774504e-02 -4.24266393e-01  4.14268481e-01  6.50330480e-02
  -3.08032588e-01]
 [ 7.54774504e-02 -4.24266393e-01  4.14268481e-01  6.50330480e-02
  -3.08032588e-01]
 [ 3.67943155e-01 -4.23752609e-01  3.89982835e-01 -3.49013089e-02
   4.43473469e-02]
 [ 3.67943155e-01 -4.23752609e-01  3.89982835e-01 -3.49013089e-02
   4.43473469e-02]
 [-4.21435815e-01  1.97841825e-02  3.20979022e-02  3.83610313e-01
   1.37909582e-01]
 [-4.21435815e-01  1.97841825e-02  3.20979022e-02  3.83610313e-01
   1.37909582e-01]
 [-3.21949912e-01 -1.44464794e-01  6.00752789e-01  6.16122787e-01
   4.21051451e-01]
 [-1.07194351e-02  3.43673797e-01  5.33948272e-01 -5.09106683e-01
   1.03244378e-04]]","[[ 1.88933320e-01  1.82741593e-01 -8.87833838e-03  6.31692957e-02
  -1.92771325e-01]
 [ 1.88933320e-01  1.82741593e-01 -8.87833838e-03  6.31692957e-02
  -1.92771325e-01]
 [ 6.38360906e-01  1.03278367e+00 -1.91512952e-01 -5.56794826e-01
   1.83872096e-01]
 [ 8.67848878e-01  9.25928542e-01 -4.07302120e-01 -1.01932849e+00
   1.65516683e-01]
 [ 5.38349634e-01 -4.84570826e-01 -3.42903629e-01  3.19694515e-01
   8.46726542e-01]
 [ 8.49597276e-01 -7.37638659e-01 -1.58684038e-01 -2.03982171e-01
   5.29344715e-01]
 [ 7.54774504e-02 -4.24266393e-01  4.14268481e-01  6.50330480e-02
  -3.08032588e-01]
 [ 7.54774504e-02 -4.24266393e-01  4.14268481e-01  6.50330480e-02
  -3.08032588e-01]
 [ 3.67943155e-01 -4.23752609e-01  3.89982835e-01 -3.49013089e-02
   4.43473469e-02]
 [ 3.67943155e-01 -4.23752609e-01  3.89982835e-01 -3.49013089e-02
   4.43473469e-02]
 [-4.21435815e-01  1.97841825e-02  3.20979022e-02  3.83610313e-01
   1.37909582e-01]
 [-4.21435815e-01  1.97841825e-02  3.20979022e-02  3.83610313e-01
   1.37909582e-01]
 [-3.21949912e-01 -1.44464794e-01  6.00752789e-01  6.16122787e-01
   4.21051451e-01]
 [-1.07194351e-02  3.43673797e-01  5.33948272e-01 -5.09106683e-01
   1.03244378e-04]]"
cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector,yellow pages,3,Business sector is the obvious choice for a business restaurant to be at because business men and women would be the wanted clients.,"A business restaurant is likely to be located in the business sector, as this is where businesses and corporations are headquartered.",3.0,0.7696990878711256,0.0,"[[ 0.93994158 -0.18308237 -0.09342698 -0.72108323]
 [ 0.56415597 -0.39378567 -0.25790809 -0.76807519]
 [-0.99194402  0.42671228 -1.29892132  0.38081245]
 [ 0.58792682 -2.39040668 -1.39050222 -0.03618959]
 [-0.19193428  0.39559816 -0.78392273  0.684093  ]
 [ 0.30790888 -0.09142783 -0.27502139 -0.02214176]
 [-0.21534115 -0.23553954  0.09098045  0.13684035]
 [-0.31328766 -0.24486461 -0.01475496  0.18254368]
 [-0.35269441  0.23986786 -0.02503614  0.26030727]
 [ 2.45652854 -1.72889959  1.08321339  0.2162873 ]
 [-0.23664419  0.36305741 -0.3727658  -0.398688  ]]","[[ 0.93994158 -0.18308237 -0.09342698 -0.72108323]
 [ 0.56415597 -0.39378567 -0.25790809 -0.76807519]
 [-0.99194402  0.42671228 -1.29892132  0.38081245]
 [ 0.58792682 -2.39040668 -1.39050222 -0.03618959]
 [-0.19193428  0.39559816 -0.78392273  0.684093  ]
 [ 0.30790888 -0.09142783 -0.27502139 -0.02214176]
 [-0.21534115 -0.23553954  0.09098045  0.13684035]
 [-0.31328766 -0.24486461 -0.01475496  0.18254368]
 [-0.35269441  0.23986786 -0.02503614  0.26030727]
 [ 2.45652854 -1.72889959  1.08321339  0.2162873 ]
 [-0.23664419  0.36305741 -0.3727658  -0.398688  ]]"
f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym,rest area,2,Garden are typically very relaxing.,"'gym' is the best answer choice because it is the most likely to be correct.  'State park' is the second most likely answer choice, and 'bus depot' is the least likely answer choice.",3.0,0.7682465948084067,0.0,"[[ 0.44027698  0.16964783]
 [ 0.44027698  0.16964783]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.02988002  0.16341568]
 [ 0.02988002  0.16341568]
 [ 0.14188945  0.10054696]
 [ 0.14188945  0.10054696]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.2061244  -0.02367413]
 [-0.2061244  -0.02367413]
 [-0.11482078  0.02100749]
 [ 0.55902364  0.45542979]
 [ 1.20711156  1.45196814]
 [-0.5214006  -0.07560116]
 [ 0.14998432 -0.43366798]
 [-0.31109389  0.33283213]
 [ 0.20396758  0.17023111]]","[[ 0.44027698  0.16964783]
 [ 0.44027698  0.16964783]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.05343971 -0.07189125]
 [ 0.02988002  0.16341568]
 [ 0.02988002  0.16341568]
 [ 0.14188945  0.10054696]
 [ 0.14188945  0.10054696]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.0198616  -0.0165326 ]
 [-0.2061244  -0.02367413]
 [-0.2061244  -0.02367413]
 [-0.11482078  0.02100749]
 [ 0.55902364  0.45542979]
 [ 1.20711156  1.45196814]
 [-0.5214006  -0.07560116]
 [ 0.14998432 -0.43366798]
 [-0.31109389  0.33283213]
 [ 0.20396758  0.17023111]]"
527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room,garden,2,Kitchen is the place in the house that produces pleasant aromas of food.,"The living room is the largest room in a house and is typically used for the most important activities, such as entertaining, watching television, and playing music. It is also the room where most of the family members spend their time, so it makes sense that it would be his favorite.",3.0,0.45543334944645886,0.0,"[[-0.12330384  0.24347592  0.18211128 -0.08840542 -0.01620701]
 [-0.12330384  0.24347592  0.18211128 -0.08840542 -0.01620701]
 [-0.30080808  0.72673039  0.8536781  -0.16174586  0.21968562]
 [-0.25069044  0.96377732  1.3054987  -0.23750746  0.19816804]
 [-0.2729982   0.37773784  0.33427768  0.07388826  0.09380436]
 [-0.2729982   0.37773784  0.33427768  0.07388826  0.09380436]
 [-0.09049354  0.15809053  0.04529126  0.07847888  0.12363541]
 [-0.09049354  0.15809053  0.04529126  0.07847888  0.12363541]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.24534823  0.21508531  0.08288976 -0.03188227  0.24313995]
 [-0.2471374   0.276881    0.45753681 -0.21655496  0.53116655]
 [-0.19377834  0.2440134   0.02064608 -0.44637896  0.38436232]
 [-0.19377834  0.2440134   0.02064608 -0.44637896  0.38436232]
 [-0.01683996  0.69087195  0.32346719  0.2587573  -0.2565068 ]
 [ 0.02195559  0.93982098  0.50686985  0.11259902 -0.33254907]
 [ 0.33532264 -0.06488731  0.1441903   0.68086969 -0.26309037]
 [ 0.30619336  0.00465674  0.30903242  0.7651842  -0.17765426]
 [ 0.03928292  0.51413035  0.53174825  0.99589532  0.62406019]
 [-0.0801198  -0.20906447 -0.25805571 -0.38057431  0.1222259 ]
 [ 0.02895976  0.33269658  0.14538724  0.1188026  -0.06207431]
 [-0.01753837  0.3134266   0.2271269   0.01820059  0.30771082]]","[[-0.12330384  0.24347592  0.18211128 -0.08840542 -0.01620701]
 [-0.12330384  0.24347592  0.18211128 -0.08840542 -0.01620701]
 [-0.30080808  0.72673039  0.8536781  -0.16174586  0.21968562]
 [-0.25069044  0.96377732  1.3054987  -0.23750746  0.19816804]
 [-0.2729982   0.37773784  0.33427768  0.07388826  0.09380436]
 [-0.2729982   0.37773784  0.33427768  0.07388826  0.09380436]
 [-0.09049354  0.15809053  0.04529126  0.07847888  0.12363541]
 [-0.09049354  0.15809053  0.04529126  0.07847888  0.12363541]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.06213535  0.18681782  0.03261674  0.1517232   0.06543903]
 [-0.24534823  0.21508531  0.08288976 -0.03188227  0.24313995]
 [-0.2471374   0.276881    0.45753681 -0.21655496  0.53116655]
 [-0.19377834  0.2440134   0.02064608 -0.44637896  0.38436232]
 [-0.19377834  0.2440134   0.02064608 -0.44637896  0.38436232]
 [-0.01683996  0.69087195  0.32346719  0.2587573  -0.2565068 ]
 [ 0.02195559  0.93982098  0.50686985  0.11259902 -0.33254907]
 [ 0.33532264 -0.06488731  0.1441903   0.68086969 -0.26309037]
 [ 0.30619336  0.00465674  0.30903242  0.7651842  -0.17765426]
 [ 0.03928292  0.51413035  0.53174825  0.99589532  0.62406019]
 [-0.0801198  -0.20906447 -0.25805571 -0.38057431  0.1222259 ]
 [ 0.02895976  0.33269658  0.14538724  0.1188026  -0.06207431]
 [-0.01753837  0.3134266   0.2271269   0.01820059  0.30771082]]"
