id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,model_answer
075e483d21c29a511267ef62bedc0461,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?",ignore,enforce,authoritarian,yell at,avoid,0,Not sure what else could be a common ground,The school had made efforts to change and the sanctions were a punishing blow.,4.0
61fe6e879ff18686d7552425a36344c8,Sammy wanted to go to where the people were.  Where might he go?,race track,populated areas,the desert,apartment,roadblock,1,People will be in populated areas.,"The desert is a large area with little to no people, making it a great place to go for a vacation. It is full of natural beauty and plenty of activities for a fun day.",2.0
02e821a3e53cb320790950aab4489e85,Google Maps and other highway and street GPS services have replaced what?,united states,mexico,countryside,atlas,oceans,3,atlases were collections of highway and street maps,"'atlas' is the best answer choice because it is the most specific. It refers to a specific type of map, and cannot be confused with any other type of map.",3.0
23505889b94e880c3e89cff4ba119860,"The fox walked from the city into the forest, what was it looking for?",pretty flowers.,hen house,natural habitat,storybook,dense forest,2,Usually the habitat of a fox is forest and it must be looking for it,The fox was likely looking for a place to rest and hide in the dense forest.,2.0
e8a8b3a2061aa0e6d7c6b522e9612824,What home entertainment equipment requires cable?,radio shack,substation,cabinet,television,desk,3,television is the only option that is a home entertainment system,"Television is commonly used for home entertainment purposes, such as watching television shows, movies, and sports. It is also used for streaming content and playing games. Therefore, it is the best choice for home entertainment equipment.",3.0
3d0f8824ea83ddcc9ab03055658b89d3,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?",carpet,refrigerator,breadbox,fridge,coach,1,Becuase Leftovers are put in the fridge,"The word 'coach' is a portmanteau word, which is a combination of the words 'cart' and 'boat'. Therefore, it makes sense that the forgotten leftovers would be covered in mold since it is a combination of a boat and a cart.",4.0
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer,blotter,4,The other choices are really useful for absorbing a liquid,"Desk drawers are typically used to store pens and other writing supplies. Therefore, it makes sense that they would be a good place to put an extra ink tank.",3.0
cae61908c731d4a20889e04c3e784ebe,Where is a business restaurant likely to be located?,town,at hotel,mall,business sector,yellow pages,3,Business sector is the obvious choice for a business restaurant to be at because business men and women would be the wanted clients.,"A business restaurant is likely to be located in the business sector, as this is where businesses and corporations are headquartered.",3.0
f5c9664c9930b704f2724fbd617bee9d,Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?,state park,bus depot,garden,gym,rest area,2,Garden are typically very relaxing.,"'gym' is the best answer choice because it is the most likely to be correct.  'State park' is the second most likely answer choice, and 'bus depot' is the least likely answer choice.",3.0
b63b9809c203321d6659ddf8551894bf,James was cooling off two quickly.  He would die if he didn't find some way to stop what?,loss of heat,revenge,expansion,relaxation,calm down,0,cooling is the loss of heat energy,,
527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room,garden,2,Kitchen is the place in the house that produces pleasant aromas of food.,"The living room is the largest room in a house and is typically used for the most important activities, such as entertaining, watching television, and playing music. It is also the room where most of the family members spend their time, so it makes sense that it would be his favorite.",3.0
