id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
c799b6d2c443a526a5e0398b12a2f938,When a person is living on the streets they likely what?,shameful,ridiculous,lazy,restricted,have no home,4,They are living on the street so obviously have no home,"People living on the streets are more likely to find themselves in a restricted area with limited access to resources, such as healthcare, education, and employment opportunities. Additionally, they may be subject to crime and violence, making it difficult to stay safe.",0.12762522787670605
59df3813684cc7bf46f7098c0ea20a46,What passes between the point of one destination to another?,relaxation,elapsed time,obstacle,uneasiness,movement,1,time is someting that passes,"The point of one destination is the same as the starting point, so the journey takes place over a period of time. ",0.11991389578906819
be35704c3bd234a708abc470e04d8e8f,"Sarah did much hard work, even though she was on vacation.  Her mother told her off and said what?",unemployment,say something,earn money,do nothing,relaxation,3,"do nothing  much hard work,even though she was on vacation.",Sarah's mother told her off and said that she should have taken some time to relax and enjoy her vacation.,0.1037447146809427
cc7c1f076b07903e87bedf852b71855b,Where would you find trees that provide food?,yard,state park,market,orchard,surface of earth,3,TREE THAT PROVIDE FOOD ARE FOUND,"Trees that provide food can be found in marketplaces, state parks, and yards.",0.13426425238139927
14e9f1ab04ad31019e71dc3fd2c0ca50,What would use an account book?,desk drawer,purse,bank,keep accounts,keep track of emails,2,"a bank. A desk drawer and/or a purse would not use an account book, they are inanimate objects and have no use for the book.","An account book would be a good place to store bank information such as account numbers, passwords, and other sensitive information.  It can also be used to keep track of expenses and keep an eye on spending patterns.  ",0.05458957306109369
86c59f14af97b33ec13edc6ec4389e31,What do people use to absorb extra ink from a fountain pen?,shirt pocket,calligrapher's hand,inkwell,desk drawer,blotter,4,The other choices are really useful for absorbing a liquid,A blotter is a device that allows you to absorb extra ink from a fountain pen by transferring it to a paper or cloth surface.  It can be used by placing it over the nozzle of the fountain pen and then releasing the ink by tapping the blotter lightly. The ink will then be absorbed by the paper or cloth and the blotter can be reused.,0.44708299823105335
a59d326a7036c0f4b75c0b4e80b8274d,"Billy is an animal, but he is alergic to trees. He hates them very much.  Still, he wants to have a picnic and can't stand the idea of buying food from a restaurant.  Where would he have his picnic?",addidas,north america,cafe,outside,woodland,3,"If Billy hates trees and restaurants, then he would not go to a cafe or the woodland but just outside","Billy can have his picnic in the open area outside his house or in the nearby woods.  He can also have it delivered to him, or ask his friends to bring him food.  He may even find a nearby park or wildlife area and have his picnic there.         ",0.18358343240106478
5b896e818a6addde726a1718e0791197,What are you doing if you are fishing?,anger,eating fish,getting wet,getting food,catching fish,3,You can fish only for fun or for eat the fish.,"When fishing, I am usually doing one of two things: either I am trying to catch a fish to eat, or I am trying to preserve a fish I already caught for later.",0.0822553935504402
ad2125a5a57db2853ea8ffda528933da,Where are people who do the same kind of work likely to gather?,train station,convention,workplace,wedding,theater,1,Weddings and theaters are usually for nonwork friends.,"People who do the same kind of work are likely to gather at a convention, as it is a place where they can network, learn new skills, and get together to discuss their work. ",0.012574053136631846
eec48f09c0480651fb8caa4660ef4ee7,"After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?",wallet,mans pocket,identification,money,hip pocket,2,Identification is what is typically shown at an airport with a ticket.,"After waiting in long lines at the airport, the man finally got to the ticket checker. He then pulled out his wallet to show his ticket and ended up putting it in his hip pocket.",0.03767035273449437
0a804c518fd6c8d6013696a8ccbe5274,"Ben was usually an eloquent speaker, but this time he had difficulty reading the words on the teleprompter, so he did much what?",stammering,maundering,speechless,talking,tongueless,0,"stammering means having a hard time speaking, the other choices don't describe how someone speaks","Ben was unable to read the words on the teleprompter, so he had to resort to other methods of communication such as speaking and mumbling.",0.3720763367600739
d1dd9f0a107eb82b18f771a846f06fa2,"If you're traveling, you must be doing what?",fatigue,going somewhere,exhilarating,crying,diarrhea,1,You're leaving your current location and going to a new one,"When traveling, it is important to remain active and explore your surroundings. This can be done by taking short walks, trying out different restaurants and attractions, and engaging in any other activities that bring you joy.",0.015096490205905866
6da68a9d4bf670893cb9b79639018001,Sally had a throat injury.  She can't talk because she is unable to do what?,swallow food,will listen,open mouth,make sound,dry mouth,3,Talking requires sound making,"Sally had a throat injury, so she can't talk because she is unable to make sound.",0.46667939936742187
b72b3a51d28bc6585464ce6088001029,Where would a doctor train before gaining a practice?,butcher shop,golf course,nursing home,medical school,medical office,3,Doctors go to medical school to be trained.,"A doctor would typically train in a medical school, as this would allow them to acquire the necessary skills and knowledge to become a successful doctor.  Medical schools typically offer a range of specialties, so the doctor can acquire the skills they need to practice in different fields.  Additionally, medical schools provide a supportive environment where doctors can learn and grow.",0.3624527545180172
7a3f7b04cd96b88e92a8a49e4ea300d4,What negative consequence is expect when gaining more land?,disputes,more work,higher taxes,making more money,more responsibility,4,More responsibility is the only negative consequence of the options provided.,"When gaining more land, there is a potential for increased disputes, more work and higher taxes. Additionally, it can lead to the increased responsibility of managing the land and its resources.",0.0850392550782999
