review,label,shap_values,shap_base_values,shap_data,y_prob,model_nle
"The movie is a teen mind-fuck that presents a cool idea in a bad package. It's too jumbled and confusing, with too many unexplained weird things happening. Despite a cool ending, it's not entertaining or engaging, and feels redundant for most of its runtime. It's not a horror or teen slasher flick, but it's packaged to look that way.",negative,"[[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [-8.673617379884035e-19, -1.0408340855860843e-17], [-8.673617379884035e-19, -1.0408340855860843e-17], [-8.673617379884035e-19, -1.0408340855860843e-17], [-8.673617379884035e-19, -1.0408340855860843e-17], [-0.0228125, 0.0228125], [-0.0228125, 0.0228125], [-0.04520833333333333, 0.04520833333333332], [-0.04520833333333333, 0.04520833333333332], [-0.04520833333333333, 0.04520833333333332], [-0.018750000000000017, 0.01875], [-0.0029411764705882314, 0.002941176470588235], [-0.0029411764705882314, 0.002941176470588235], [-0.015441176470588232, 0.01544117647058823], [-0.015441176470588232, 0.01544117647058823], [-0.027941176470588233, 0.027941176470588226], [-0.0029411764705882314, 0.002941176470588235], [-0.04669117647058824, 0.046691176470588215], [-0.009191176470588223, 0.009191176470588234], [-0.021691176470588235, 0.021691176470588224], [-0.03419117647058823, 0.034191176470588225], [-0.027941176470588233, 0.027941176470588226], [-0.027941176470588233, 0.027941176470588226], [-0.002941176470588232, 0.0029411764705882344], [-0.002941176470588232, 0.0029411764705882344], [-0.002941176470588232, 0.0029411764705882344], [-0.002941176470588232, 0.0029411764705882344], [-0.002941176470588232, 0.0029411764705882344], [0.0004166666666666652, -0.0004166666666666676], [0.0004166666666666652, -0.0004166666666666676], [0.0004166666666666652, -0.0004166666666666676], [0.0004166666666666652, -0.0004166666666666676], [0.0004166666666666652, -0.0004166666666666676], [-0.008333333333333326, 0.008333333333333331], [-0.008333333333333326, 0.008333333333333331], [-0.023958333333333328, 0.023958333333333328], [-0.023958333333333328, 0.023958333333333328], [-0.042708333333333334, 0.04270833333333333], [-0.00989583333333333, 0.00989583333333333], [-0.00989583333333333, 0.00989583333333333], [-0.0062499999999999865, 0.006249999999999985], [-0.03593750000000001, 0.03593749999999998], [-0.03593750000000001, 0.03593749999999998], [-0.010937499999999998, 0.010937499999999992], [-0.010937499999999998, 0.010937499999999992], [-0.0031249999999999945, 0.003125000000000005], [-0.0031249999999999945, 0.003125000000000005], [-0.0031249999999999945, 0.003125000000000005], [-0.015624999999999993, 0.015625000000000007], [-0.005530303030303038, 0.005530303030303029], [-0.005530303030303038, 0.005530303030303029], [-0.003446969696969704, 0.003446969696969696], [-0.003446969696969704, 0.003446969696969696], [-0.003446969696969704, 0.003446969696969696], [-0.0017803030303030279, 0.0017803030303030305], [0.00019886363636362637, -0.00019886363636363764], [0.00019886363636362637, -0.00019886363636363764], [0.00019886363636362637, -0.00019886363636363764], [0.00019886363636362637, -0.00019886363636363764], [-0.02636363636363636, 0.02636363636363636], [-0.016111111111111125, 0.016111111111111104], [-0.002048611111111117, 0.00204861111111111], [-0.002048611111111117, 0.00204861111111111], [-0.002048611111111117, 0.00204861111111111], [-0.002048611111111117, 0.00204861111111111], [-0.0036111111111111175, 0.0036111111111111096], [-0.0036111111111111175, 0.0036111111111111096], [-0.0036111111111111175, 0.0036111111111111096], [-0.016111111111111125, 0.016111111111111104]]]","[[[0.0, 0.0]]]","[[['The', '  movie', '  is', '  a', '  teen', '  mind', ' -f', ' uck', '  that', '  presents', '  a', '  cool', '  idea', '  in', '  a', '  bad', '  package', ' .', '  It', "" 's"", '  too', '  j', ' umbled', '  and', '  confusing', ' ,', '  with', '  too', '  many', '  un', ' explained', '  weird', '  things', '  happening', ' .', '  Despite', '  a', '  cool', '  ending', ' ,', '  it', "" 's"", '  not', '  entertaining', '  or', '  engaging', ' ,', '  and', '  feels', '  redundant', '  for', '  most', '  of', '  its', '  runtime', ' .', '  It', "" 's"", '  not', '  a', '  horror', '  or', '  teen', '  sl', ' asher', '  flick', ' ,', '  but', '  it', "" 's"", '  packaged', '  to', '  look', '  that', '  way', ' .']]]","[[[0.1, 0.9]]]","[""The review is mostly negative, with the reviewer criticizing the movie for being confusing, unengaging, and redundant. The reviewer also mentions that the movie is packaged in a misleading way. The only positive aspect mentioned is the cool ending, but it's not enough to outweigh the negative comments.""]"
"""Virus"" is a movie that goes for all flash and no substance. The acting is below average and the plot feels empty. The real star here are the robot designs and the occasional good gore shot. If robots and body parts turn you on, this is your movie. Otherwise, it's a sunken ship of a movie.",negative,"[[[-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.003124999999999994, 0.003125000000000001], [-0.021875000000000006, 0.02187499999999999], [-0.021875000000000006, 0.02187499999999999], [-0.021875000000000006, 0.02187499999999999], [-0.021875000000000006, 0.02187499999999999], [-0.04687500000000001, 0.046874999999999986], [-0.013541666666666669, 0.013541666666666662], [-0.013541666666666669, 0.013541666666666662], [-0.013541666666666669, 0.013541666666666662], [-0.014583333333333337, 0.014583333333333327], [-0.014583333333333337, 0.014583333333333327], [-0.02291666666666667, 0.022916666666666655], [-0.02291666666666667, 0.022916666666666655], [-0.02291666666666667, 0.022916666666666655], [-0.014583333333333347, 0.014583333333333339], [-0.02343750000000001, 0.023437499999999993], [-0.02343750000000001, 0.023437499999999993], [-0.039062500000000014, 0.039062499999999986], [-0.039062500000000014, 0.039062499999999986], [-0.012500000000000027, 0.012499999999999963], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.012864583333333325, -0.012864583333333329], [0.014613095238095229, -0.014613095238095236], [0.014613095238095229, -0.014613095238095236], [0.014613095238095229, -0.014613095238095236], [0.013311011904761897, -0.013311011904761902], [0.013311011904761897, -0.013311011904761902], [0.013311011904761897, -0.013311011904761902], [0.013311011904761897, -0.013311011904761902], [-0.01736111111111112, 0.01736111111111111], [-0.01736111111111112, 0.01736111111111111], [-0.03611111111111112, 0.03611111111111111], [-0.006111111111111119, 0.0061111111111111106], [-0.006111111111111119, 0.0061111111111111106], [-0.006111111111111119, 0.006111111111111111], [-0.006111111111111119, 0.006111111111111111], [-0.006111111111111119, 0.006111111111111111], [-0.03611111111111112, 0.03611111111111111], [0.002500000000000003, -0.00249999999999999], [0.002500000000000003, -0.00249999999999999], [0.002500000000000003, -0.00249999999999999], [0.002500000000000003, -0.00249999999999999], [0.0025000000000000057, -0.0024999999999999875], [-0.0020833333333333446, 0.002083333333333312], [-0.0020833333333333446, 0.002083333333333312], [-0.005520833333333329, 0.005520833333333328], [-0.005520833333333329, 0.005520833333333328], [-0.005520833333333329, 0.005520833333333328], [-0.005520833333333329, 0.005520833333333328], [-0.040364583333333336, 0.040364583333333315], [-0.040364583333333336, 0.040364583333333315], [-0.03177083333333334, 0.03177083333333331], [-0.03177083333333334, 0.03177083333333331], [-0.03177083333333334, 0.03177083333333331], [-0.02270833333333334, 0.02270833333333332]]]","[[[0.0, 0.0]]]","[[['""', ' V', ' irus', ' ""', '  is', '  a', '  movie', '  that', '  goes', '  for', '  all', '  flash', '  and', '  no', '  substance', ' .', '  The', '  acting', '  is', '  below', '  average', '  and', '  the', '  plot', '  feels', '  empty', ' .', '  The', '  real', '  star', '  here', '  are', '  the', '  robot', '  designs', '  and', '  the', '  occasional', '  good', '  gore', '  shot', ' .', '  If', '  robots', '  and', '  body', '  parts', '  turn', '  you', '  on', ' ,', '  this', '  is', '  your', '  movie', ' .', '  Otherwise', ' ,', '  it', "" 's"", '  a', '  sun', ' ken', '  ship', '  of', '  a', '  movie', ' .']]]","[[[0.1, 0.9]]]","['The review is mostly negative, criticizing the movie for its lack of substance, below average acting, and empty plot. The reviewer only praises the robot designs and gore shots, but overall, they seem to not recommend the movie.']"
"""The Mod Squad"" is a slick looking production but that's not enough. It's a cross between an hour-long cop show and a music video, with every single cliché. The characters and acting are nothing spectacular, and the plot is extremely predictable. It's clear that the film is nothing more than an attempt to cash in on the teenage spending dollar. Avoid this film at all costs.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Quest for Camelot"" is Warner Bros.' first feature-length, fully-animated attempt to steal clout from Disney's cartoon empire, but it's pretty much dead on arrival. It's missing pure showmanship and there's nothing that differentiates it from a Saturday morning cartoon. The characters are not interesting and the film lacks personality. Children will probably be as bored watching this as adults.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Stalked"" is yet another in a seemingly endless string of spurned-psychos-getting-their-revenge type movies. It doesn't provide much suspense and is very predictable. The cast is uniformly adequate but nothing to write home about. The plot requires the victim to be ditzy for it to proceed. It's highly derivative and somewhat boring, but not so bad that it can't be watched. If you're in the mood for a good suspense film, stake out something else.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Ghosts of Mars"" is a disappointing horror movie that feels like a self-homage by John Carpenter. It's more of a drawn-out fight than a horror, with a low-powered alien menace and a lack of originality.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""8mm"" is a conventional missing persons drama that descends into violence and ends with a self-righteous finale. It exploits its subject matter without condemning or condoning it, resulting in a banal and unimpressive film.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Nine Months"" is a predictable, unoriginal comedy with forced humor and uninspired slapstick. Hugh Grant's performance is annoying and the movie is a complete failure, lacking in laughs and intelligence.",positive,[0.0],[0.0],[0.0],[0.0],[0.0]
"""Aberdeen"" is a plodding, forgettable European drama with a mundane plot and weak casting. It sleepwalks through the rhythms of other movies, failing to capture the complexities of real life.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
"""The Musketeer"" is a poorly executed film with a boring, unoriginal story and subpar acting. Despite a couple of cool fight sequences, the movie is filled with plot problems, banal dialogue, and an annoyingly loud score.",negative,[0.0],[0.0],[0.0],[0.0],[0.0]
